0.404633,0.813599,0.948427
0.370056,0.268463,1.003507
0.828857,0.696045,1.047648
0.284302,0.485138,1.028487
0.583557,0.817047,1.010504
0.754486,0.928406,1.231356
0.260590,0.719910,1.006931
0.106018,0.288391,1.020839
0.364349,0.001190,1.202568
0.573273,0.650482,1.039350
0.644745,0.228760,1.020765
0.313049,0.301117,0.960400
0.658112,0.439545,1.023930
0.713135,0.600220,1.082479
0.116547,0.164795,0.928785
0.588318,0.270691,1.003908
0.628845,0.794678,0.989334
0.751373,0.765411,1.031085
0.154663,0.944061,0.937816
0.577881,0.980865,2.040481
0.756683,0.690704,1.027896
0.924377,0.364166,1.171901
0.920715,0.499664,0.947951
0.483124,0.287750,1.208652
0.696381,0.700928,1.002844
0.741882,0.313568,0.967674
0.066040,0.924744,1.048228
0.533783,0.513153,1.212903
0.149048,0.294464,0.958752
0.092133,0.227570,1.048772
0.973633,0.808899,1.310558
0.935516,0.414215,1.022285
0.466614,0.585663,1.024857
0.180542,0.913055,0.983503
0.904541,0.861420,1.023939
0.385986,0.447998,1.009272
0.207367,0.229950,0.995656
0.146332,0.832458,1.036440
0.017242,0.915680,0.995379
0.752960,0.549683,1.014953
0.361450,0.309998,1.065545
0.700562,0.502197,0.975792
0.728912,0.907928,1.168050
0.008179,0.143066,0.986701
0.464874,0.555756,0.995791
0.629456,0.295258,1.019420
0.387085,0.924683,0.969917
0.011017,0.602509,1.065968
0.321259,0.742310,1.444649
0.506744,0.616852,1.006005
0.720825,0.911865,1.113676
0.235291,0.884552,0.985693
0.549377,0.609161,0.986423
0.458527,0.921844,1.211368
0.039673,0.140198,1.077726
0.033508,0.548279,0.989615
0.675934,0.144867,0.968742
0.324860,0.542755,1.062274
0.649719,0.019958,1.138414
0.531555,0.883270,1.252654
0.991852,0.580414,1.181364
0.061523,0.797150,1.036036
0.454834,0.359100,1.183886
0.748260,0.363403,0.986876
0.890991,0.935608,1.082457
0.725708,0.342865,1.046908
0.212616,0.658661,0.988302
0.033386,0.145905,1.063785
0.910095,0.461792,0.972673
0.889374,0.250244,1.242339
0.413025,0.538788,1.043176
0.417389,0.833801,0.936754
0.188629,0.824799,1.109672
0.824371,0.759705,0.956289
0.249054,0.889557,1.029752
0.967468,0.220978,1.039832
0.567291,0.371948,1.009529
0.302490,0.193909,1.146623
0.647766,0.840088,1.293902
0.742828,0.238342,0.995325
0.043915,0.326782,1.003297
0.354553,0.992676,0.939207
0.830811,0.139801,1.070809
0.443665,0.819946,1.018850
0.805603,0.255157,0.906485
0.832550,0.339813,0.999294
0.372864,0.045380,1.180944
0.346832,0.907654,1.054431
